X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5	Y6	Y7
3.4	2.8	4.4	4.1	2.6	0.0	0.0	0.0	42.0	17.0	12.0	30.0
2.2	4.1	3.1	4.3	3.5	109.0	79.0	188.0	53.0	29.0	22.0	30.0
2.2	3.6	3.9	3.9	2.1	134.0	78.0	212.0	59.0	23.0	21.0	26.0
2.0	3.3	3.6	4.6	2.4	122.0	89.0	211.0	54.0	25.0	22.0	28.0
3.0	3.8	3.7	4.5	3.4	125.0	89.0	214.0	60.0	16.0	22.0	32.0
2.0	2.1	4.3	3.9	2.6	113.0	101.0	214.0	55.0	22.0	15.0	33.0
2.6	2.9	4.0	3.9	2.4	103.1	81.0	184.1	58.0	15.0	16.0	33.0
1.8	3.1	3.9	4.6	2.5	141.0	97.0	238.0	56.0	30.0	22.0	31.0
2.7	3.4	4.0	3.3	3.3	112.0	67.0	179.0	64.0	26.0	16.0	29.0
1.5	4.3	2.1	4.3	3.6	114.0	79.0	193.0	54.0	30.0	26.0	35.0
1.7	3.8	3.6	4.3	1.8	150.3	100.0	250.3	62.0	22.0	21.0	34.0
2.4	2.2	4.4	3.0	1.8	134.0	83.0	217.0	55.0	23.0	18.0	32.0
1.9	4.4	3.6	3.6	1.8	136.0	97.0	233.0	56.0	32.0	21.0	39.0
2.3	2.8	3.4	3.6	3.0	113.0	84.0	197.0	53.0	26.0	19.0	30.0
2.4	2.7	2.2	3.4	2.8	136.0	81.0	217.0	55.0	12.0	17.0	34.0
2.3	3.5	3.4	3.9	3.4	145.0	106.0	251.0	62.0	27.0	25.0	33.0
2.5	3.1	4.4	4.8	3.0	148.0	81.0	229.0	64.0	22.0	19.0	24.0
3.5	2.4	4.0	3.3	2.8	132.0	92.0	224.0	52.0	13.0	15.0	30.0
2.9	3.3	3.6	4.3	3.1	119.0	85.0	204.0	54.0	23.0	21.0	33.0
2.2	3.1	4.2	3.4	3.1	124.0	95.0	219.0	55.0	27.0	22.0	33.0
2.6	3.4	3.8	3.9	2.9	108.0	80.0	188.0	47.0	17.0	20.0	28.0
1.8	3.1	4.0	3.6	2.1	140.0	106.0	246.0	65.0	28.0	23.0	33.0
2.8	2.8	2.9	3.0	3.5	125.0	80.0	205.0	47.0	17.0	18.0	32.0
2.9	3.8	3.9	3.6	2.5	131.0	84.0	215.0	62.0	23.0	20.0	33.0
2.5	2.9	3.9	4.8	1.9	102.4	61.0	163.4	41.0	21.0	10.0	31.0
2.5	3.7	3.3	4.4	3.0	144.0	88.0	232.0	64.0	20.0	24.0	37.0
2.4	3.8	3.4	3.8	3.0	125.0	111.0	236.0	73.0	26.0	24.0	37.0
1.3	3.9	4.1	4.3	1.8	154.1	115.0	269.1	73.0	21.0	28.0	40.0
3.2	4.3	3.7	3.0	2.0	131.0	79.0	210.0	69.0	24.0	19.0	34.0
3.3	3.4	3.5	3.8	3.6	134.0	79.0	213.0	50.0	15.0	14.0	32.0
2.8	3.6	3.8	3.8	2.1	139.0	102.0	241.0	54.0	30.0	26.0	35.0
4.1	2.3	2.8	3.8	2.9	0.0	0.0	0.0	51.0	18.0	18.0	32.0
1.7	3.5	3.6	4.0	1.5	135.0	96.0	231.0	68.0	30.0	24.0	32.0
2.2	3.3	3.6	4.3	2.6	157.0	96.0	253.0	64.0	19.0	20.0	12.0
2.2	4.1	3.4	4.8	3.1	122.0	79.0	201.0	53.0	21.0	19.0	33.0
3.2	3.4	3.6	3.4	2.9	117.0	89.0	206.0	56.0	21.0	16.0	27.0
